                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 0.8946,                0.82405,                0.99469,                0.38291,                0.66498,                0.42256,                0.30688,                 1.0418,                 2.0126,                  1.083,             0.00084184,             0.00084184,             0.00084184
                     52,                0.87665,                0.78212,                0.97868,                0.41481,                 0.7762,                0.45526,                0.32415,                 1.0097,                 1.6352,                 1.0662,             0.00082533,             0.00082533,             0.00082533
                     53,                0.86053,                0.80591,                0.97339,                0.39034,                0.77314,                0.43068,                0.31259,                0.95068,                 1.3257,                 1.0182,             0.00080883,             0.00080883,             0.00080883
                     54,                 0.8609,                0.76021,                0.96647,                0.42237,                0.76602,                0.46558,                0.34075,                0.96935,                 1.5297,                 1.0449,             0.00079233,             0.00079233,             0.00079233
                     55,                0.82976,                0.75869,                 0.9509,                0.42362,                0.80428,                 0.4512,                0.31787,                 1.0741,                 1.5822,                  1.104,             0.00077582,             0.00077582,             0.00077582
                     56,                0.87073,                0.77003,                0.97169,                0.42364,                 0.7999,                0.46354,                0.32978,                  1.003,                 1.4076,                 1.0372,             0.00075932,             0.00075932,             0.00075932
                     57,                0.82291,                0.71432,                0.94939,                0.39501,                0.77519,                0.42033,                0.29699,                  1.017,                 1.6758,                 1.0667,             0.00074282,             0.00074282,             0.00074282
                     58,                0.84752,                0.72059,                0.96596,                0.45129,                0.70731,                 0.4747,                0.35338,                0.96835,                 1.4503,                 1.0317,             0.00072631,             0.00072631,             0.00072631
                     59,                0.83948,                0.72369,                0.95776,                0.40997,                 0.8255,                0.45112,                0.32848,                0.95365,                 1.4256,                 1.0253,             0.00070981,             0.00070981,             0.00070981
                     60,                0.84646,                0.69541,                0.95995,                0.40507,                0.78818,                0.43094,                0.30656,                0.99601,                 1.6972,                 1.0362,             0.00069331,             0.00069331,             0.00069331
                     61,                0.86501,                0.73966,                0.97119,                0.42295,                0.76045,                0.44034,                0.31671,                0.96054,                 1.5856,                 1.0361,              0.0006768,              0.0006768,              0.0006768
                     62,                0.83355,                0.71075,                0.95526,                0.38829,                0.75295,                0.43643,                0.31796,                 1.0061,                 1.5784,                 1.0421,              0.0006603,              0.0006603,              0.0006603
                     63,                0.84287,                0.68456,                0.95814,                0.41602,                0.80516,                0.49552,                0.35563,                 1.0051,                 1.4622,                  1.052,              0.0006438,              0.0006438,              0.0006438
                     64,                0.80798,                0.66592,                0.94889,                 0.4184,                0.80972,                0.47064,                0.33321,                 1.0168,                 1.4923,                 1.0654,             0.00062729,             0.00062729,             0.00062729
                     65,                0.81624,                0.68917,                0.94512,                0.42556,                0.72948,                0.46093,                 0.3319,                 0.9957,                  1.469,                 1.0599,             0.00061079,             0.00061079,             0.00061079
                     66,                0.80265,                0.65988,                0.93647,                0.41098,                0.77389,                0.48279,                0.35115,                 0.9671,                 1.4187,                  1.043,             0.00059429,             0.00059429,             0.00059429
                     67,                0.81446,                0.63782,                0.94955,                0.45248,                0.73698,                 0.4736,                0.33464,                0.99317,                 1.6428,                 1.0711,             0.00057778,             0.00057778,             0.00057778
                     68,                0.81842,                0.64029,                0.95499,                0.44648,                0.77694,                0.48671,                0.35786,                0.98643,                 1.5646,                 1.0463,             0.00056128,             0.00056128,             0.00056128
